1747 4785
1285 412 290985394
1592 891 -809780022
1409 618 -458914259
1154 543 505718689
532 747 93384888
352 434 -639581091
1493 235 575187038
1739 1157 -427659420
1432 713 862888298
838 976 -858182194
94 514 -386911051
1221 359 633095171
1387 21 -660568494
113 1174 -39589172
1428 1705 814817253
636 310 -689614853
951 56 -421851128
580 48 902209507
1080 1479 -281763326
960 570 835381025
1084 663 -576928904
1619 136 -167320260
1299 1522 -144499096
1595 1634 -800644766
687 1315 -848619218
526 204 -494552203
797 1154 -431678179
1301 1733 -378385923
1216 1065 -685741040
97 278 -34078920
1699 1361 723731599
323 1233 878675914
1050 784 620974001
50 632 491711603
224 1319 -3392592
357 97 229046302
798 893 -450552803
1294 447 -467002871
91 1662 752036676
365 12 -930545862
1208 1711 627067318
967 286 37965168
861 1335 935242858
530 1385 -341668108
87 1608 -832356901
957 218 -722006269
284 1015 299768933
763 562 811117581
1229 651 714249176
1012 1015 727400396
1073 477 685952265
747 1443 -987024120
1653 557 541150977
1597 1086 125978463
425 1172 -33186427
572 382 215037083
815 664 -623903204
203 1427 18314527
38 908 763304358
1535 173 -74674756
1297 1245 470298264
1023 245 121955019
1034 151 758971421
633 1 2321471
1616 426 -656283227
714 996 -220235268
29 64 539511651
358 266 172404728
1247 304 -788558909
1040 91 -591342585
102 1387 833507837
1385 663 -886940322
619 1696 -714721895
408 583 -714594025
1283 452 -228224818
1583 1166 912028823
518 1194 984160629
116 1550 -712060467
1140 1050 -365516883
1324 343 -261959445
1681 443 -673987756
1536 82 84350450
1634 699 26031053
137 1107 692205028
387 643 -791149159
1060 480 542782062
984 997 -90964222
970 1112 -316291220
1221 505 885115599
29 82 -723439409
673 16 -216631000
958 1550 -124160910
159 1438 675925879
1054 1574 -57399210
786 214 678185293
968 1273 -773603838
569 510 366998126
1362 1478 -360497160
213 952 216315029
113 980 308875785
354 1653 325842522
1038 864 100723077
57 1021 -253422871
1520 328 -451317221
597 1113 -207553995
316 334 -750358014
513 902 -167700453
1707 517 -475420685
519 729 614420824
1581 841 -263692810
978 1194 -371721033
389 485 616348398
1350 541 -215134064
256 314 159862631
735 910 -566456487
1427 1225 -185240577
1645 1737 846292421
625 1697 -562821715
1083 469 271125794
747 303 -766749452
1389 1280 600113135
192 1668 -844917443
1603 1271 -226002098
542 1526 132785049
1555 514 -825955210
187 194 575962416
898 91 564934089
764 715 507957935
1146 51 -955463206
510 797 -609014306
713 439 856180422
364 630 765963499
499 486 221058002
1175 1027 -31958939
418 835 555595449
570 1021 776167177
200 172 879398227
1566 935 -302411853
1136 334 -244683748
1175 843 667003365
1517 1555 -831043324
1391 172 -110544848
1187 670 444847188
507 98 -380001277
1352 515 574772385
964 1085 -257288310
769 1283 -61423942
663 1102 -991342092
1272 492 -609864473
186 1666 354134708
1641 1436 133905998
42 1080 329562532
819 520 -903813132
334 1026 -792223096
876 630 -202882308
504 1593 -961745980
1153 615 507148306
226 1277 -231265362
234 802 330970949
574 987 238394035
10 881 -118010410
1000 922 -882061965
415 1740 -287797131
499 328 885842095
680 1202 -393103228
1376 1705 -569037651
1410 1111 134206004
979 1336 -403974036
1650 1569 514010374
1066 396 -356524513
402 405 651424665
1171 1405 -293185411
1274 73 -300899594
150 570 73129305
51 1250 -551099990
580 879 -598815093
957 542 672695683
201 1520 202008396
721 1423 -2219045
297 743 450148883
859 1143 913246892
554 568 520980977
1171 95 602913671
36 245 -744768158
972 294 685712392
1364 873 -308526986
1715 83 310767725
1429 283 50744835
732 1003 -319861019
1603 1299 529921109
1123 410 -161514743
1048 964 487821011
629 388 595866408
283 423 874824317
506 1394 -789463170
231 1011 209900718
835 979 303878332
233 661 626675675
1150 1392 -225681290
1744 1248 -739182189
1334 625 -270351538
320 1671 832235331
1619 553 -724606994
1266 835 -241778109
1157 1340 -646148711
1340 1570 511181213
651 658 -368603432
43 890 387193036
1463 293 -19420983
393 290 -590664540
621 1623 123611252
1258 196 36653284
1111 67 669442535
1352 1332 -375107327
268 742 -841764458
576 335 955183532
150 985 -292790343
701 1026 725081641
166 742 -940455679
1022 1134 -609263323
1379 8 -751420182
614 1265 -528441000
1519 629 -452504766
1231 233 -927745074
30 500 -79337603
168 1075 303254471
129 1224 -570068130
747 178 604572924
507 343 -546146691
559 1364 752091732
900 996 760106006
1117 1609 207544591
1528 1381 926642821
260 865 -807206302
323 894 -235780887
1127 1062 994770355
519 1190 395628637
894 189 598190528
549 695 989649063
945 1252 550583259
729 405 -309671424
519 1521 -467503735
1574 1302 -886260390
1510 1561 103501146
1678 138 -873326454
599 1264 341492351
594 36 -296858906
67 929 -81170570
1462 1477 713638999
1453 675 147114121
1061 1403 609991474
1663 175 350850874
382 2 -158748679
481 1510 -371311952
1445 1441 -214584021
1555 293 -767902487
981 887 -728012880
1594 952 335016670
651 667 25759086
401 373 798067678
1402 1433 404034177
1061 1349 603764590
495 1730 604803507
1229 465 333793751
32 163 -16470983
718 1717 318228417
920 951 -667337692
1158 798 422459324
577 1448 -814190004
1473 101 -387636615
1296 1502 -747297248
776 816 797156671
430 1310 778221410
85 792 -690363422
1250 823 -505096682
362 1540 -539304822
1513 713 548504508
57 124 -538527596
1299 700 -881571707
1461 426 -766988825
250 1721 952335169
471 751 -113608248
294 1180 -613968203
100 1264 292506624
370 767 -765495719
802 1128 997440746
1205 894 -186586469
810 950 -45590244
1213 503 755446091
1317 217 -757718378
1520 466 -787015972
1478 936 71587485
506 1229 -578143414
843 1328 868594835
226 1697 -254404015
430 752 -963610948
428 210 59202452
1138 1019 -853301503
225 485 -278663492
12 55 -31073518
223 1574 501831801
409 1306 -427244780
1345 65 978853408
1713 907 498347775
1598 1132 440874900
503 1561 -698661900
535 242 -459567449
1460 1379 706662763
1588 1604 -738498859
472 1615 -676624025
1317 91 -874701560
883 500 619603706
1383 97 692683525
1364 64 -269430308
926 1661 -974231167
438 417 812785226
701 952 -910940380
1173 664 668005541
917 505 504032747
1145 976 352587327
1427 546 455950904
1537 1428 -972892494
1205 1063 -862355383
936 681 -790581177
1574 1606 -888975041
1597 297 -411940991
1433 997 676910023
1511 423 -563219544
1221 1339 14368803
788 737 -868988427
223 417 -244364754
1494 207 -609928377
1518 1411 607075922
1638 600 -614498445
75 428 -776303708
172 277 -437464964
685 1710 703355884
403 1474 -813408613
784 948 718904309
1670 1735 -438204210
38 211 38641801
698 1704 274740785
1038 1475 -110303550
695 1366 576192315
1032 1440 -935201924
1227 1610 -618717435
1718 548 -661568994
1459 950 -974696979
1622 1734 109904148
1377 1656 96267137
121 1694 336979313
1028 645 287991582
395 1682 -23588551
1172 630 -460116472
802 1661 -812173359
858 1142 -968734251
1191 1113 -341740141
1486 825 745718993
1509 700 730423607
732 330 626742506
1689 451 565687261
1110 1478 -697106882
488 125 -771568301
1341 1296 -50621074
66 351 -148763645
230 1208 -842299724
257 652 431305724
832 391 -624591414
610 153 176600245
374 883 553785013
49 825 -931241321
1415 188 760163042
1680 675 902738889
133 268 386182669
962 333 786686696
1705 562 169049049
97 818 914552289
1346 1649 -638372575
1674 512 -464422525
955 885 546306586
566 933 -509918101
626 601 -296117277
416 534 475700641
332 667 781947103
1542 1628 -837494366
1355 1586 -194797125
630 1682 741304577
555 1281 629070596
871 1209 -785780073
1339 417 227176175
943 982 -705318153
1370 1607 -17575799
239 276 593296357
1527 607 -644269987
1337 401 -780895906
1479 10 -965345046
436 639 960082869
210 1193 426693563
1632 317 -190104378
73 1655 286289288
1144 851 -590340422
1402 474 -751234831
513 712 -436230896
158 492 257410269
469 82 715871336
660 1560 725839000
690 249 -543637690
655 458 821993554
155 343 -815639840
862 415 -920960401
239 1558 52338459
597 1213 594338637
814 1725 -591077144
1306 136 -28208243
658 604 64892441
410 1263 -149269456
170 206 134508937
569 861 657532200
413 1015 -951129073
574 130 -477254953
643 368 -693669267
1562 963 694309831
1208 30 669106543
1565 1335 824017226
667 246 -485228107
1597 654 960474636
593 824 -804219590
1584 1391 180772084
1285 58 -657856779
1328 631 -510210559
38 1273 -89999968
305 1088 -987565428
38 549 -954141772
1496 366 574040106
1342 1032 854390473
45 882 -397219334
11 1475 545049683
182 1312 137559836
1213 849 202304677
1511 430 923644368
193 467 380618506
987 771 -374434449
998 809 252824137
1038 557 671317123
666 152 -147163735
539 197 862274002
1065 207 550360877
668 388 51605830
1661 1599 -976458941
965 1363 -484962509
898 1555 48840171
358 796 931279834
904 47 -143333690
251 1084 494106139
1711 3 667616551
709 542 891969437
589 1606 -872360567
196 527 -429593050
1114 442 -598955930
1135 1406 961694014
1584 557 742146223
754 914 -347599272
694 70 -295107899
1442 321 945478567
1000 284 948200235
710 992 -432552423
616 1580 -593998744
727 29 8910957
1225 1143 513736516
1575 531 122782609
1542 368 759693607
1317 1121 -194911986
140 68 -115468619
756 1509 250847844
708 763 575354527
663 1472 -289112304
1158 341 -480278650
1513 1067 -447783631
648 545 859978580
223 374 -533450956
1203 169 -113034750
993 1484 -829932631
1696 1624 -752864765
722 633 974835156
68 1340 -152726727
1444 256 -467933864
318 1413 -78816818
772 1179 -857736158
1254 79 -234284932
1132 301 192580926
1539 1503 384555434
568 750 83784811
716 699 -57330212
932 1421 666102463
910 1488 199561402
1649 1185 491246842
368 1502 108606357
1172 527 -542358796
1296 34 -452737662
219 1165 -108793724
1260 957 -387744373
723 1524 470103998
1669 493 -730160595
746 1424 895993226
454 587 599413305
1501 489 -44545829
1057 856 -324996484
279 281 277782693
679 1576 316008069
1156 48 -350341775
188 1307 745282204
723 283 489845255
260 204 -946585253
496 949 683125912
405 1402 -646186092
55 1157 -87247993
890 467 892006345
1479 745 -787239897
848 1423 -982722878
251 832 -928727529
818 1020 567327075
596 1742 889996369
151 255 -876934836
197 750 209203247
1667 1154 -185486917
229 1208 -861443927
1026 351 -327420942
932 83 525188395
1118 930 154025289
1133 1180 -893647923
1195 251 273375033
817 846 267349785
721 996 558380330
829 1192 -583693926
138 1112 737120241
849 1340 120236137
970 620 521107932
1558 1551 614739141
1143 921 -321087543
405 307 -970364052
497 1501 -683432159
1609 572 284990337
969 1292 -575251306
584 374 789257657
947 511 61643137
718 1359 -404280957
1696 583 304237380
1278 393 79204494
941 1535 -866619513
1534 193 -515957519
1560 689 -797537053
90 551 -144031041
1212 1520 -665443115
1583 357 -238708111
1399 1303 345377219
580 274 -98674042
1100 222 567694177
492 1499 -982939065
1435 694 774614627
1551 481 994380543
228 294 -217289242
404 383 412980305
1152 1594 152538972
1444 1430 559767088
362 1082 50970727
1537 1660 363270129
578 1013 616901432
200 1505 332972568
215 1192 -873777324
18 996 -324435786
13 1223 10633127
697 1626 447997257
184 1031 272646941
1190 727 -90669126
806 1089 -852693290
1724 878 -951782411
1168 1455 207782552
833 1654 -69761020
251 122 -705208633
361 140 434820199
951 152 -165632041
87 848 -304102409
1351 1031 875378056
716 475 -292633763
1510 1280 953154023
1639 1256 -41881366
1681 677 -376413974
989 1509 -482749623
55 13 -343827379
313 374 -185032614
1565 1324 -11984786
548 1410 958026860
1155 1014 137982633
1046 1729 680421504
1664 1493 145110560
1623 1384 -416979470
714 1318 357421542
1258 561 85215029
1709 615 99373560
536 927 526119811
1248 745 41017994
364 1292 -345298763
328 700 815166797
1321 1746 795061614
1042 1663 503716562
296 1539 88438352
805 505 -402555428
244 16 238517772
1191 1725 941896934
405 514 2373422
1737 15 854767437
900 378 333446933
1472 705 -865690496
1310 279 -867266796
1131 1320 -963915729
698 1615 797516725
1648 673 -624850798
424 916 -607432273
1505 360 -632977324
1454 764 -45313330
583 754 -29472907
457 1653 402559159
1621 1378 -791190272
1738 941 -472738565
108 326 -961664219
139 1023 887143326
1709 924 -343295399
290 1347 704441144
633 1105 -884432012
953 813 -10541308
41 1395 852233066
888 105 744909105
366 1725 322188047
549 1716 -600763312
1009 77 -228883358
1042 215 941544470
944 177 -1041474
1517 466 -459196619
1259 1098 805596806
1360 304 -264764262
478 344 -667906404
349 1231 -549062181
126 1596 -574784661
1281 398 -610764341
1629 1406 -524268016
556 701 -279211417
505 1644 -78077817
1377 1415 454281982
103 927 -289564287
1680 540 57406045
576 1017 449879651
865 1365 -141616378
1259 1490 -314522884
1630 1023 139969860
224 906 -250876708
639 1461 551273189
1269 219 433562879
328 1595 52696961
1597 1698 -886883419
471 1630 -269610276
1394 459 893975083
914 1323 456105723
1664 835 161690751
516 719 -667081787
1511 942 369024797
419 1580 41127143
27 1102 290769723
1279 1429 116911063
452 1279 60354541
551 3 -73303034
1188 1397 451174072
1096 564 -34120542
621 480 921750940
1635 995 -255996142
180 760 821873870
1375 1178 631092959
538 1204 -107550289
1665 736 -472133698
894 1187 991624718
73 1737 994160671
882 1178 592880205
403 527 -762337028
1246 1147 -213107408
1178 1035 926046180
82 1214 -204906401
1672 842 -856841863
1350 1379 521512985
383 1296 -636278981
844 443 722479202
837 515 710904114
832 1397 59385478
476 53 661898376
684 1298 -25451466
1371 730 -840973301
1306 810 548251087
254 736 -488753506
379 339 -910859937
1707 721 572701517
279 1564 -921158080
37 654 -332084186
1530 1484 -733379838
709 214 -673870961
414 896 812321899
1265 520 -353050315
1404 79 574016251
1009 332 -584604530
1456 711 -197819701
1533 671 626820448
1160 949 417182220
1229 985 -835109667
66 768 864105455
299 1477 -892292206
584 144 133360319
420 1407 727955623
985 1064 817539884
613 326 -802793298
975 35 10114212
1676 1567 777775400
1350 981 -136088716
841 463 991001067
985 528 -130051137
867 826 -439859851
961 1409 -276526698
204 82 -665503147
1712 1066 552237502
1553 1678 924946335
1725 906 963869846
861 835 758148098
667 438 -119517393
1421 1278 409715290
1414 516 -986238036
427 1382 -40757212
916 595 -427713200
1548 798 -334784100
94 764 884979771
1449 570 805594665
1383 548 -157543948
1352 1409 797744228
1140 329 -701720355
163 3 761244519
1394 1416 -648470814
1406 96 933239099
497 1011 -385917948
997 811 527418365
1578 904 -598796340
1477 605 52977821
1307 242 679947549
297 1592 292227056
120 986 667591741
381 1148 669952887
172 795 290311563
479 453 398616629
421 950 -444991764
957 200 482959682
544 30 -483032176
895 1506 209270159
68 1067 484813024
1535 1363 307466264
917 1482 -564622022
626 116 749030770
338 287 -341860069
1465 766 176467423
940 1186 -736743963
1424 396 -509207429
973 939 -475707076
1424 87 -751263132
734 154 469719068
284 1687 29695575
1426 857 -273589382
60 1482 -141856161
1587 74 186139757
415 1538 -938072440
1442 730 418746346
1672 408 870678165
354 1380 -54858615
812 1057 43339662
1029 44 218250820
566 327 149822407
1465 6 -869718522
353 64 827219774
1103 1650 910590184
392 318 670704270
446 13 -493821338
1685 1684 -27978406
1572 292 -448807252
651 1103 760659948
1562 385 809693355
879 951 -816894010
137 669 -811635881
251 1021 -739154281
100 377 -850418441
22 768 -487288429
1481 1213 -473296821
176 1151 -545187582
1025 976 -212168139
1506 1626 -949945569
1297 1441 -509783004
1131 573 578038624
1291 709 -656785108
1455 959 512156413
1683 1058 943007030
68 1079 -178093502
515 813 -789217624
975 988 528381011
1372 266 -354619431
314 25 -493077567
358 1322 -843653733
786 706 -188097111
417 250 623414707
717 1704 -278836802
291 1640 932368136
241 1707 167619706
959 475 -902377820
1143 1449 228554215
731 1074 532437409
1294 1387 560464504
1737 1744 73295453
127 783 880623608
836 1199 -834445039
507 169 -883546372
1137 459 994165327
1078 699 948271619
351 1657 -508515928
437 1052 -849494134
1509 36 380149416
1101 1330 -31753413
717 1320 -35148195
1654 1446 860182067
1550 535 232275998
1695 1042 424348489
50 432 948555952
45 1509 -252094581
1746 113 -355696616
429 549 848532223
560 311 888972947
19 1411 411006124
865 381 -78445812
1707 288 -423036597
1585 91 189136658
915 39 -618511339
412 88 -124817392
367 132 -397413365
1020 131 -268679551
1583 559 359006229
1450 1119 714198192
1353 1137 329333745
839 254 764877394
1644 214 -905875409
401 52 -802301056
1439 966 -758844585
27 1377 -659052371
791 1743 -508759086
1317 1016 -359693112
209 851 279629622
1395 554 -440285017
1146 161 860712385
560 999 -849131585
355 896 -604965123
437 1296 -546606162
610 989 558221295
821 1014 133865737
1118 58 128883118
1547 1373 -708821144
360 1581 265056333
1477 1230 899047772
220 629 -917873879
98 1188 225297502
230 1542 -749883894
575 233 733545332
971 842 -135278161
585 1661 -974865713
1575 1032 -910034716
814 832 661801464
1068 1191 471963276
427 922 -120543051
339 1140 598480675
410 1237 -41631800
1480 1466 -276003083
1698 294 -10508583
1466 1263 952550643
475 101 854330010
497 1675 35777145
575 742 988132963
280 64 351704349
1565 490 -593879073
587 827 711097678
236 1237 127346988
1073 970 -194262727
1705 921 141303408
823 640 -412560766
781 1114 -297633957
654 1609 -380050428
1558 438 469072940
1548 716 540915003
982 534 -899467906
1337 1120 46971983
1084 1355 -537639206
323 681 571996025
1026 639 -374006215
276 1461 357899405
789 495 -367565275
1402 1148 -525265970
198 960 -25237395
1480 761 794321915
1079 1742 -594624765
1167 1331 687379516
335 669 238815432
739 990 -981948818
365 269 -250916317
912 545 -578595650
351 1333 -12436173
903 988 -698107878
1318 1185 400166382
422 918 -729480430
243 250 -735343965
597 1416 788696703
324 4 -446260747
1405 742 687130671
1421 1106 994608231
329 270 -382524659
697 620 -856828766
1559 1523 274061952
77 1093 -369902933
1299 1515 680349518
1535 11 965734308
20 606 586783531
1582 929 590469172
319 588 -560847979
46 262 704828102
41 590 -986508795
580 1286 -276959270
705 1098 -534088597
72 1174 716837252
622 726 450580882
343 514 461464208
313 533 -845137537
1698 368 218155164
1340 686 890157745
1724 731 -811078615
1466 772 -136470231
1478 1351 -664612756
363 309 592057636
770 380 -64566929
523 1001 765679926
43 1342 -646682225
1319 1654 -36997350
1454 1605 383431255
772 1199 -831657157
676 1176 4868084
841 895 887615210
1594 626 434059560
141 988 787372371
1531 11 -778384409
602 533 366886287
397 575 -96466021
706 147 -202707027
1546 1600 -365053198
1008 624 -993035365
1155 1299 352498494
286 393 -623623518
188 240 92089801
1440 380 -777320817
1255 165 -765943972
1448 765 -156942410
895 1162 500264748
1684 120 667141713
634 1666 498550948
1188 927 -787352384
1194 335 699589461
629 620 -851702129
958 807 -577697388
165 500 -143009073
360 8 44420452
564 1455 920024258
1300 603 249482271
864 540 386112265
573 1173 292916891
135 615 -646672597
321 62 -264313357
59 690 444862695
188 1647 -631529230
557 65 -59429572
1305 424 -51465960
471 987 -386022804
401 540 303786181
1492 1402 921494976
956 229 264396553
339 363 967437712
647 683 -962416912
1289 740 -172668824
805 928 -286941544
1126 1483 -213145270
201 1041 271399180
1029 1511 -599252163
1565 165 17958288
958 1656 -376704717
889 864 -116099467
247 1202 298324987
219 102 -920783738
251 1390 -73836181
974 448 987465526
1596 1573 685423998
537 27 -122969839
1647 1056 -393295534
251 874 -205528828
1139 85 -310187452
1684 973 678840862
709 1219 54473004
97 1436 170036377
166 1687 -238782375
974 913 272879439
963 762 73492589
689 1298 103627505
1454 1198 -688181776
238 1448 312041941
932 841 408084839
1534 777 -478558108
1254 1485 916509653
428 1581 560725834
1450 1746 491673525
368 973 -463316101
1479 190 408815411
670 878 -105077208
1634 585 -733594780
160 822 924010532
1306 7 -114302981
789 1540 774759961
1244 1046 475099890
1171 1473 285041793
788 1176 283801935
344 1543 -602455870
812 1275 -386266093
296 199 617795261
1078 86 -713241645
1310 245 227327654
1244 1549 233974329
271 591 -3489071
74 88 -806221689
1362 1258 880249484
738 299 225960824
113 642 -7870045
460 1453 -548363683
996 2 -322027503
662 1079 -225233997
912 642 53835055
238 139 -172778402
1315 409 503010469
439 482 602643559
608 97 42630522
504 834 383697191
1574 946 -882482908
694 1405 780774121
1088 653 782283690
1680 1314 16968591
610 480 751234043
1530 716 909090577
507 284 -623764787
73 722 -72572089
1472 1329 37768560
636 86 992298956
98 1659 74821031
201 606 -317121083
9 1693 430206518
1565 1626 -65400901
707 489 482815011
490 273 -697818089
410 779 -373325871
739 850 452802591
1549 575 -25654389
709 1210 71552671
702 1307 -29615404
1640 1507 662971339
490 1515 600949218
1739 1333 462290730
809 293 -978238124
357 782 -666802288
621 1192 223819833
1168 184 -803361289
690 1731 -145702096
1541 693 -760572068
731 1394 735725989
1578 1287 460709164
1283 30 195151580
935 22 -278663074
466 830 56233793
485 1186 951076224
776 60 314954795
98 1227 524104720
270 170 505953908
1015 1711 -701729078
1224 694 893354714
994 525 366026317
523 61 399164647
1566 995 422976222
450 1460 -627939860
1372 198 729231411
1329 972 796671946
731 1069 201055873
316 1338 395185784
1631 606 353407287
145 83 -852726944
52 1076 -252832316
1244 1598 -183937491
720 1417 954906750
216 120 625991137
541 1491 851077547
305 1074 -36636311
127 58 -813330601
1176 373 717633386
648 256 -589446443
83 400 -495142159
212 451 736272226
864 1695 565505879
1576 667 187710378
1537 883 324222651
1210 1423 31276490
1080 1726 -740051882
175 106 -674807669
338 1281 -248886150
92 181 43666581
450 263 501121448
891 474 -983166837
661 1337 956828045
282 1166 -279729260
1318 956 730137470
728 420 358488375
1629 1499 334554869
110 1674 455008894
394 265 -79093672
1049 356 127432948
214 806 427996047
1525 1696 969868679
1540 610 500218527
1502 890 -164891900
385 462 929444147
149 1189 -590782194
1335 1071 -874493376
754 1180 -958325711
278 1572 -655609801
1082 874 -248712258
321 1088 672920474
1567 866 614146235
1541 658 -688762750
1105 413 329699399
88 797 857243061
26 945 218090887
383 533 -556480632
493 1287 793476618
529 1564 593154972
830 899 -406331724
1486 1219 838683113
1200 1039 -170679069
863 833 582414892
1135 191 -945206958
550 277 -33273880
425 302 -951648406
1489 685 -341842157
130 1177 -869300267
1696 1705 920986160
1340 788 -50076548
113 527 -655055446
1718 1726 534045516
696 842 -512904983
331 230 -295688417
379 779 20803313
1223 1204 366014355
1265 945 -850837485
94 1074 495754415
208 1023 447464346
139 616 -651317493
968 728 -49303363
1269 699 -73572787
863 1394 890020466
1288 1724 -847286350
157 356 44206161
1048 1578 -578258936
494 1097 503409243
625 1189 -267269931
184 1396 903180157
1448 1534 -392085519
6 756 440601316
836 278 -760076226
1645 1140 835202786
1549 681 808853246
1683 836 -784331808
848 137 -977626257
1216 631 277321494
783 1254 -361330712
1422 1438 -762883145
1338 1139 993650358
123 1144 -141806753
1380 234 175690074
1590 132 -519813641
1446 1680 258777115
1279 1616 -784226073
1467 717 -628019895
1487 186 93410005
856 968 -470773856
1413 644 -824817066
1620 234 478744722
1615 356 -211405983
618 1735 55427451
1645 1578 205672239
318 1277 129348846
1417 809 -20829077
1605 529 799344628
184 269 -988388973
1138 1124 119379363
1600 790 855379706
7 664 -877207789
1298 532 -470468639
241 1149 -483801530
1162 1046 -677282688
469 1363 784290674
1454 1033 -290228197
563 891 314828886
388 1073 621835670
398 465 -91886353
1375 318 812332104
1249 324 -428392102
1356 1621 179591385
73 115 -505524188
523 1276 691951253
805 1744 252204067
617 1451 -565988630
1236 267 453147085
638 654 -318408680
308 1052 212754077
1101 680 575861503
937 182 946096528
1436 1538 802203874
720 1609 932777559
1152 386 393245032
883 1190 389278533
230 60 50226909
609 1295 355261083
131 186 -896274319
726 493 307231730
39 1593 -914841406
1415 783 -707114023
1368 472 -946793909
1195 1191 895650296
1136 596 -663582937
607 1477 698223702
73 1706 765360889
990 568 247600426
427 698 459771200
518 1423 -976291120
1659 1461 847527111
1734 1129 -256442001
243 750 283409439
290 198 -353327180
199 1333 327823948
492 193 18814080
229 265 -28152716
24 1254 620934924
1113 1681 -580775910
642 452 -951693901
662 364 720935028
529 351 12972382
1178 593 870514688
553 882 -904234180
1117 1079 621503338
530 1571 840972272
1420 52 -856548841
522 75 579166904
191 1188 503380593
557 82 -980182093
599 743 -564289427
356 1271 -163782813
1240 703 514223725
1127 1254 -477063722
1211 625 758005141
880 1154 555847377
741 827 614686688
867 1348 699883962
499 1538 59039626
66 349 151924881
83 947 -997751394
463 1302 457537911
1193 795 -738649204
769 175 697096698
1226 1385 -588551561
1015 519 732229964
627 1259 -321744643
291 379 -778628104
29 877 982514509
953 942 -619092715
213 1024 464856319
215 1487 -44703356
1487 933 865200638
1715 1701 -934917010
1451 1180 650709520
64 448 -756416435
1576 1074 684677397
422 1363 -882557825
616 1391 121044802
600 597 -801134128
933 809 370723290
466 1022 72327630
1300 763 -860103920
1182 731 -912347637
1239 435 438532758
934 498 950542403
1147 327 179528676
871 748 -259821735
974 1363 -667624870
206 216 15158899
380 1148 940454455
1577 1613 110510401
767 1166 982864651
889 601 -181132000
966 93 315617145
475 1025 884560528
432 425 -742071891
1462 1295 113975247
362 522 -325926161
652 728 -79261610
1538 1107 -765123814
1486 936 -918656452
710 1702 415437118
695 844 -897642465
1410 63 -792812212
812 537 380637397
712 968 866289928
937 683 348822778
163 1044 945678122
752 1696 -222099238
1556 1487 -955643434
15 1226 115768828
86 189 64465174
1321 883 -969658313
1411 546 -898949271
1592 1358 -284874942
1051 322 823107075
934 1258 -395474540
366 1421 799558472
318 425 740581245
997 234 442752676
1036 248 -153472778
264 332 62415279
1193 1653 -926718499
1220 1316 -302006112
1308 1161 -747830415
186 465 -379630882
32 1398 -939479403
560 16 686599270
385 334 -827321025
158 1330 -560501900
1418 619 -278067168
411 882 101326717
1338 329 -6883123
1402 1547 -500339156
266 1108 828146405
486 1294 -640789042
1027 1325 959144433
1080 138 976769604
807 521 -642235403
957 679 880030170
1341 349 -412077109
225 759 597211587
1187 351 972361433
308 6 743714115
744 270 12320363
594 755 -506694766
907 36 -990224197
872 1115 -833742470
852 174 -237691114
1164 1131 538511117
1059 725 937616900
1572 949 -193846545
1221 389 206536059
1197 695 212046216
973 1438 520677813
111 285 -615399568
541 1192 -575816808
550 316 699946689
695 1167 898490193
1360 584 192492678
958 1642 -978547755
903 1467 107301723
1607 941 551367832
914 391 -653232552
226 1363 993161411
1554 1472 -681303869
144 267 682582561
514 815 -956034864
252 1509 379613460
163 1123 -952707870
1204 333 927031313
1223 1236 606753905
444 1095 -316328511
52 263 130145500
355 488 -310109947
349 295 -624774490
627 438 -320542893
350 950 612360643
388 1201 340193651
1593 1364 -374734984
1634 821 6085853
1570 297 -579726935
1227 740 673980104
78 791 973743031
1065 1145 -468391938
1667 1493 -131746991
248 373 368278305
842 722 -544132857
503 1110 830966209
1673 956 392065697
473 843 -668341714
1351 666 -328803782
1718 146 517981216
1434 223 -576618886
1411 1287 734163357
129 1207 443489358
887 1454 870055247
335 549 -303556416
733 1051 966619504
586 977 60196470
55 1449 -975533390
344 1053 -213538763
930 1025 -47065744
510 711 207557154
879 375 -319524566
647 503 -938420854
161 1388 726093802
48 1723 -646523494
656 709 556087902
627 1294 -325878359
1552 1348 -667157263
1574 1691 538337044
514 875 -289122373
1346 1383 524444591
654 516 952780965
1248 1162 -472505187
1302 1322 -883160858
1063 1369 -910907741
1372 278 -99878695
984 904 -619107509
1573 709 923471514
117 536 859516660
1460 1049 -139775854
335 648 -556424812
1666 1301 32950900
1624 803 -637485362
339 358 875755759
441 1420 442729511
519 1045 759879478
1304 282 -206174839
1637 107 604763030
1570 224 -782840302
1448 1683 417476398
452 271 -841352612
840 189 648229818
1742 66 -433300874
312 404 -24365546
204 844 -398870396
1463 1362 796661085
1253 919 -881683203
200 809 -759781619
1601 632 -504791426
45 333 -578375580
1282 784 -269656456
1421 1623 -54189462
1114 1618 20806365
1609 183 482825840
714 385 -551291895
1239 101 -992454583
1062 1354 59459081
1165 1553 985341589
1375 1407 -291335547
61 1451 88944334
429 987 986405377
1067 661 844622770
146 27 696547413
1037 1635 904693943
586 602 -655181880
978 94 -540350544
984 1155 -990932574
163 573 786897193
150 200 397901787
769 260 59240905
1720 688 -811609053
1708 7 -56000702
1572 153 -25704223
1307 1189 -154020490
1224 28 534684948
1525 1005 641541696
180 242 -36789159
188 404 618009175
2 553 846155082
1223 1321 -857142864
401 1294 -70260244
566 1254 -62853517
1390 1080 110887856
494 640 -528229759
1233 117 -497380524
827 1641 652143665
514 74 927888226
1355 261 -610687760
1021 262 21757295
